deal_id,account_id,closed_date,industry,company_size_band,geo,arr_usd,cac_usd,signup_source,time_to_value_days
D-1001,A-1,2025-09-12,logistics,201-500,us-west,42000,7800,outbound,11
D-1002,A-2,2025-09-15,logistics,201-500,us-east,38000,6500,referral,8
D-1003,A-3,2025-09-19,logistics,51-200,us-east,18000,4200,organic,14
D-1004,A-4,2025-09-21,logistics,201-500,emea,52000,9100,outbound,12
D-1005,A-5,2025-09-25,logistics,51-200,us-west,21000,3900,organic,9
D-1006,A-6,2025-09-29,logistics,201-500,us-west,46000,8200,paid,15
D-1007,A-7,2025-10-02,manufacturing,1000+,us-east,180000,38000,outbound,30
D-1008,A-8,2025-10-05,manufacturing,1000+,emea,210000,44000,outbound,28
D-1009,A-9,2025-10-08,manufacturing,501-1000,us-east,98000,21000,outbound,22
D-1010,A-10,2025-10-12,manufacturing,1000+,us-west,170000,36000,partner,32
D-1011,A-11,2025-10-15,saas,11-50,us-east,8000,2200,organic,5
D-1012,A-12,2025-10-19,saas,11-50,us-west,7500,2500,organic,6
D-1013,A-13,2025-10-23,saas,11-50,emea,8500,2400,organic,5
D-1014,A-14,2025-10-26,saas,1-10,us-east,3500,1100,organic,3
D-1015,A-15,2025-10-30,saas,1-10,us-west,3200,950,organic,4
D-1016,A-16,2025-11-03,saas,51-200,us-east,28000,7400,paid,12
D-1017,A-17,2025-11-08,saas,51-200,us-west,32000,7900,paid,11
D-1018,A-18,2025-11-12,fintech,201-500,us-east,56000,9800,sales-led,18
D-1019,A-19,2025-11-15,fintech,201-500,us-west,52000,11200,sales-led,16
D-1020,A-20,2025-11-19,fintech,501-1000,emea,98000,22000,sales-led,21
D-1021,A-21,2025-11-22,logistics,201-500,emea,40000,7100,outbound,13
D-1022,A-22,2025-11-26,logistics,201-500,us-east,45000,8300,referral,10
D-1023,A-23,2025-11-30,logistics,51-200,us-west,19000,3700,organic,11
D-1024,A-24,2025-12-04,logistics,1000+,us-east,165000,33000,outbound,28
D-1025,A-25,2025-12-08,manufacturing,201-500,emea,72000,14500,outbound,24
D-1026,A-26,2025-12-12,manufacturing,501-1000,us-west,110000,24000,partner,26
D-1027,A-27,2025-12-15,saas,11-50,us-west,9000,2600,organic,5
D-1028,A-28,2025-12-19,saas,11-50,us-east,8200,2500,organic,7
D-1029,A-29,2025-12-23,saas,51-200,emea,28500,7200,paid,12
D-1030,A-30,2026-01-04,saas,201-500,us-east,68000,15800,sales-led,18
D-1031,A-31,2026-01-08,fintech,501-1000,us-east,115000,24500,sales-led,22
D-1032,A-32,2026-01-12,fintech,1000+,us-west,225000,48000,sales-led,30
